,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq,monthcount
0,AX,AX,2006-11-01,18.4,0.0,30.5,0.0,0.0,0.0,55.0,14748.0
1,AX,AX,2006-11-01,19.2,0.31137869814,24.5,,1165.0,7.8993761866,55.0,14748.0
2,AX,AX,2006-12-01,19.2,0.339650805866,25.5,0.0,0.0,0.0,75.0,36977.0
3,AX,AX,2007-01-01,19.2,0.332149142565,27.5,0.0,0.0,0.0,123.0,30929.0
4,AX,AX,2007-02-01,19.2,0.309787561237,27.5,,1213.0,6.26873385013,99.0,19350.0
5,AX,AX,2007-03-01,18.4,0.0,32.5,0.0,0.0,0.0,82.0,8488.0
6,AX,AX,2007-03-01,18.8,0.281118133743,28.5,0.0,0.0,0.0,82.0,8488.0
7,AX,AX,2007-11-01,18.8,0.531428960126,34.5,0.0,0.0,0.0,58.0,5899.0
8,AX,AX,2007-11-01,19.2,0.0,32.5,0.0,0.0,0.0,58.0,5899.0
9,AX,AX,2007-11-01,23.6,0.0,27.5,0.0,0.0,0.0,58.0,5899.0
10,AX,AX,2007-11-01,19.2,0.365846066656,26.5,,256.0,4.33971859637,58.0,5899.0
11,AX,AX,2007-11-01,22.8,0.0,26.5,,0.0,0.0,58.0,5899.0
12,AX,AX,2007-11-01,18.8,0.0,20.5,0.0,0.0,0.0,58.0,5899.0
13,AX,AX,2007-11-01,19.2,0.447938133161,17.5,0.0,0.0,0.0,58.0,5899.0
14,AX,AX,2007-11-01,22.4,0.0,12.5,0.0,0.0,0.0,58.0,5899.0
15,AX,AX,2007-11-01,23.2,0.530274409505,12.5,0.0,0.0,0.0,58.0,5899.0
16,AX,AX,2007-12-01,18.4,0.0,31.5,0.0,0.0,0.0,98.0,24457.0
17,AX,AX,2007-12-01,19.2,0.312202585356,25.5,,1328.0,5.42993825899,98.0,24457.0
18,AX,AX,2008-01-01,18.8,0.0,26.5,,0.0,0.0,84.0,16315.0
19,AX,AX,2008-01-01,22.4,0.334169272159,11.5,,111.0,0.680355501073,84.0,16315.0
20,AX,AX,2008-02-01,18.0,0.0,32.5,0.0,0.0,0.0,68.0,5972.0
21,AX,AX,2008-02-01,18.8,0.273134913882,27.5,,338.0,5.6597454789,68.0,5972.0
22,AX,AX,2008-02-01,18.8,0.272415082906,25.5,0.0,0.0,0.0,68.0,5972.0
23,AX,AX,2008-02-01,23.2,0.0,25.5,,0.0,0.0,68.0,5972.0
24,AX,AX,2008-03-01,19.6,0.0,34.5,0.0,0.0,0.0,49.0,2733.0
25,AX,AX,2008-03-01,18.0,0.0,33.5,0.0,0.0,0.0,49.0,2733.0
26,AX,AX,2008-03-01,18.8,0.339187283748,33.5,0.0,0.0,0.0,49.0,2733.0
27,AX,AX,2008-03-01,23.6,0.542809950415,29.5,0.0,0.0,0.0,49.0,2733.0
28,AX,AX,2008-03-01,18.8,0.313300415186,28.5,,134.0,4.90303695573,49.0,2733.0
29,AX,AX,2008-03-01,23.2,0.0,26.5,0.0,0.0,0.0,49.0,2733.0
