,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq
0,AX,AX,2006-11-01,18.4,0.0,30.5,0.0,0.0,0.0,55.0
1,AX,AX,2006-11-01,19.2,0.509554140127,24.5,1.23142250531,1165.0,7.8993761866,55.0
2,AX,AX,2006-12-01,19.2,0.552016985138,25.5,0.0,0.0,0.0,75.0
3,AX,AX,2007-01-01,19.2,0.552016985138,27.5,0.0,0.0,0.0,123.0
4,AX,AX,2007-02-01,19.2,0.509554140127,27.5,1.69851380042,1213.0,6.26873385013,99.0
5,AX,AX,2007-03-01,18.4,0.0,32.5,0.0,0.0,0.0,82.0
6,AX,AX,2007-03-01,18.8,0.467091295117,28.5,0.0,0.0,0.0,82.0
7,AX,AX,2007-11-01,18.8,0.849256900212,34.5,0.0,0.0,0.0,58.0
8,AX,AX,2007-11-01,19.2,0.0,32.5,0.0,0.0,0.0,58.0
9,AX,AX,2007-11-01,23.6,0.0,27.5,0.0,0.0,0.0,58.0
10,AX,AX,2007-11-01,19.2,0.594479830149,26.5,1.35881104034,256.0,4.33971859637,58.0
11,AX,AX,2007-11-01,22.8,0.0,26.5,2.76008492569,0.0,0.0,58.0
12,AX,AX,2007-11-01,18.8,0.0,20.5,0.0,0.0,0.0,58.0
13,AX,AX,2007-11-01,19.2,0.72186836518,17.5,0.0,0.0,0.0,58.0
14,AX,AX,2007-11-01,22.4,0.0,12.5,0.0,0.0,0.0,58.0
15,AX,AX,2007-11-01,23.2,0.849256900212,12.5,0.0,0.0,0.0,58.0
16,AX,AX,2007-12-01,18.4,0.0,31.5,0.0,0.0,0.0,98.0
17,AX,AX,2007-12-01,19.2,0.509554140127,25.5,1.65605095541,1328.0,5.42993825899,98.0
18,AX,AX,2008-01-01,18.8,0.0,26.5,1.57112526539,0.0,0.0,84.0
19,AX,AX,2008-01-01,22.4,0.552016985138,11.5,0.636942675159,111.0,0.680355501073,84.0
20,AX,AX,2008-02-01,18.0,0.0,32.5,0.0,0.0,0.0,68.0
21,AX,AX,2008-02-01,18.8,0.467091295117,27.5,1.86836518047,338.0,5.6597454789,68.0
22,AX,AX,2008-02-01,18.8,0.467091295117,25.5,0.0,0.0,0.0,68.0
23,AX,AX,2008-02-01,23.2,0.0,25.5,3.01486199575,0.0,0.0,68.0
24,AX,AX,2008-03-01,19.6,0.0,34.5,0.0,0.0,0.0,49.0
25,AX,AX,2008-03-01,18.0,0.0,33.5,0.0,0.0,0.0,49.0
26,AX,AX,2008-03-01,18.8,0.552016985138,33.5,0.0,0.0,0.0,49.0
27,AX,AX,2008-03-01,23.6,0.849256900212,29.5,0.0,0.0,0.0,49.0
28,AX,AX,2008-03-01,18.8,0.509554140127,28.5,1.40127388535,134.0,4.90303695573,49.0
29,AX,AX,2008-03-01,23.2,0.0,26.5,0.0,0.0,0.0,49.0
30,AX,AX,2008-03-01,22.4,1.57112526539,23.5,3.94904458599,9.0,0.32930845225,49.0
31,AX,AX,2008-03-01,23.6,0.0,23.5,3.69426751592,0.0,0.0,49.0
32,AX,AX,2008-03-01,23.6,1.10403397028,21.5,0.0,0.0,0.0,49.0
