,station,netvec,datevec,freq,freqsd,ipi,ipisd,peakcounts,propcounts,all_nseq
0,AX,AX,2006-11-01,18.4,0.934182590234,30.5,3.65180467091,69.0,0.46786004882,55.0
1,AX,AX,2006-11-01,19.2,0.509554140127,24.5,1.23142250531,1165.0,7.8993761866,55.0
2,AX,AX,2006-12-01,19.2,0.552016985138,25.5,1.78343949045,1755.0,4.74619357979,75.0
3,AX,AX,2007-01-01,19.2,0.552016985138,27.5,1.78343949045,1490.0,4.81748520806,123.0
4,AX,AX,2007-02-01,19.2,0.509554140127,27.5,1.69851380042,1213.0,6.26873385013,99.0
5,AX,AX,2007-03-01,18.4,0.67940552017,32.5,3.56687898089,92.0,1.08388312912,82.0
6,AX,AX,2007-03-01,18.8,0.467091295117,28.5,1.48619957537,497.0,5.85532516494,82.0
7,AX,AX,2007-11-01,18.8,0.849256900212,34.5,2.67515923567,14.0,0.237328360739,58.0
8,AX,AX,2007-11-01,19.2,0.72186836518,32.5,3.6093418259,14.0,0.237328360739,58.0
9,AX,AX,2007-11-01,23.6,1.14649681529,27.5,3.43949044586,18.0,0.305136463807,58.0
10,AX,AX,2007-11-01,19.2,0.594479830149,26.5,1.35881104034,256.0,4.33971859637,58.0
11,AX,AX,2007-11-01,22.8,1.57112526539,26.5,2.76008492569,26.0,0.440752669944,58.0
12,AX,AX,2007-11-01,18.8,0.764331210191,20.5,4.45859872611,13.0,0.220376334972,58.0
13,AX,AX,2007-11-01,19.2,0.72186836518,17.5,2.84501061571,23.0,0.389896592643,58.0
14,AX,AX,2007-11-01,22.4,0.976645435244,12.5,1.27388535032,21.0,0.355992541109,58.0
15,AX,AX,2007-11-01,23.2,0.849256900212,12.5,1.31634819533,27.0,0.457704695711,58.0
16,AX,AX,2007-12-01,18.4,0.806794055202,31.5,3.48195329087,98.0,0.400703275136,98.0
17,AX,AX,2007-12-01,19.2,0.509554140127,25.5,1.65605095541,1328.0,5.42993825899,98.0
18,AX,AX,2008-01-01,18.8,0.509554140127,26.5,1.57112526539,848.0,5.19767085504,84.0
19,AX,AX,2008-01-01,22.4,0.552016985138,11.5,0.636942675159,111.0,0.680355501073,84.0
20,AX,AX,2008-02-01,18.0,0.934182590234,32.5,3.26963906582,47.0,0.787006028131,68.0
21,AX,AX,2008-02-01,18.8,0.467091295117,27.5,1.86836518047,338.0,5.6597454789,68.0
22,AX,AX,2008-02-01,18.8,0.467091295117,25.5,2.16560509554,216.0,3.61687876758,68.0
23,AX,AX,2008-02-01,23.2,0.976645435244,25.5,3.01486199575,19.0,0.318151373074,68.0
24,AX,AX,2008-03-01,19.6,0.976645435244,34.5,3.1847133758,7.0,0.256128796195,49.0
25,AX,AX,2008-03-01,18.0,0.891719745223,33.5,3.22717622081,19.0,0.695206732528,49.0
26,AX,AX,2008-03-01,18.8,0.552016985138,33.5,3.26963906582,18.0,0.658616904501,49.0
27,AX,AX,2008-03-01,23.6,0.849256900212,29.5,4.11889596603,7.0,0.256128796195,49.0
28,AX,AX,2008-03-01,18.8,0.509554140127,28.5,1.40127388535,134.0,4.90303695573,49.0
29,AX,AX,2008-03-01,23.2,1.35881104034,26.5,3.86411889597,8.0,0.292718624222,49.0
30,AX,AX,2008-03-01,22.4,1.57112526539,23.5,3.94904458599,9.0,0.32930845225,49.0
31,AX,AX,2008-03-01,23.6,1.10403397028,23.5,3.69426751592,6.0,0.219538968167,49.0
32,AX,AX,2008-03-01,23.6,1.10403397028,21.5,4.24628450106,7.0,0.256128796195,49.0
33,AX,AX,2008-03-01,23.6,1.01910828025,19.5,4.20382165605,8.0,0.292718624222,49.0
34,AX,AX,2008-03-01,24.0,1.48619957537,17.5,4.24628450106,6.0,0.219538968167,49.0
35,AX,AX,2008-03-01,22.0,1.35881104034,12.5,3.05732484076,7.0,0.256128796195,49.0
36,AX,AX,2008-03-01,22.8,1.06157112527,11.5,2.25053078556,7.0,0.256128796195,49.0
37,AX,AX,2008-11-01,18.8,0.552016985138,27.5,1.6135881104,989.0,3.44407299067,102.0
38,AX,AX,2008-11-01,23.2,0.72186836518,27.5,2.03821656051,158.0,0.550215907508,102.0
39,AX,AX,2008-11-01,18.8,0.382165605096,16.5,1.78343949045,267.0,0.929795236105,102.0
40,AX,AX,2008-11-01,22.8,0.72186836518,11.5,1.14649681529,358.0,1.2466917398,102.0
41,AX,AX,2008-12-01,19.2,0.509554140127,26.5,1.40127388535,1293.0,5.9396389361,100.0
42,AX,AX,2008-12-01,22.4,1.06157112527,12.5,1.01910828025,56.0,0.25724654325,100.0
43,AX,AX,2008-12-01,23.2,0.67940552017,12.5,1.10403397028,69.0,0.31696449079,100.0
44,AX,AX,2009-01-01,19.2,0.509554140127,27.5,1.31634819533,1114.0,5.99537161617,103.0
45,AX,AX,2009-02-01,18.4,0.849256900212,34.5,2.97239915074,23.0,0.3861003861,76.0
46,AX,AX,2009-02-01,19.2,0.509554140127,28.5,1.1889596603,366.0,6.14403223099,76.0
47,AX,AX,2009-02-01,22.8,1.48619957537,28.5,2.8025477707,14.0,0.235017626322,76.0
48,AX,AX,2009-02-01,23.2,0.806794055202,25.5,4.4161358811,16.0,0.268591572939,76.0
49,AX,AX,2009-02-01,18.4,0.806794055202,22.5,3.09978768577,14.0,0.235017626322,76.0
50,AX,AX,2009-02-01,23.2,0.849256900212,21.5,3.94904458599,18.0,0.302165519557,76.0
51,AX,AX,2009-02-01,22.8,0.934182590234,19.5,3.52441613588,15.0,0.251804599631,76.0
52,AX,AX,2009-03-01,18.0,0.764331210191,37.5,3.1847133758,14.0,0.230073952342,73.0
53,AX,AX,2009-03-01,18.8,0.467091295117,28.5,1.35881104034,275.0,4.51930977814,73.0
54,AX,AX,2009-03-01,23.2,0.509554140127,27.5,2.67515923567,44.0,0.723089564503,73.0
55,AX,AX,2009-03-01,22.8,0.72186836518,13.5,1.52866242038,33.0,0.542317173377,73.0
56,AX,AX,2009-11-01,23.2,0.636942675159,28.5,2.33545647558,68.0,0.442910180421,82.0
57,AX,AX,2009-11-01,18.8,0.509554140127,27.5,2.54777070064,423.0,2.75516185762,82.0
58,AX,AX,2009-11-01,18.8,0.509554140127,24.5,2.54777070064,394.0,2.56627369244,82.0
59,AX,AX,2009-11-01,18.8,0.467091295117,17.5,4.11889596603,69.0,0.449423565427,82.0
60,AX,AX,2009-11-01,18.4,0.467091295117,15.5,3.09978768577,84.0,0.54712434052,82.0
61,AX,AX,2009-11-01,23.2,0.72186836518,12.5,1.06157112527,143.0,0.931414055885,82.0
62,AX,AX,2009-12-01,23.2,0.636942675159,29.5,2.37791932059,157.0,0.77006082009,106.0
63,AX,AX,2009-12-01,18.8,0.509554140127,27.5,1.95329087049,572.0,2.80557190504,106.0
64,AX,AX,2009-12-01,18.8,0.509554140127,18.5,3.22717622081,110.0,0.539533058662,106.0
65,AX,AX,2009-12-01,22.8,0.72186836518,12.5,1.35881104034,203.0,0.995683735531,106.0
66,AX,AX,2010-01-01,18.4,0.594479830149,32.5,3.35456475584,59.0,0.429841177328,92.0
67,AX,AX,2010-01-01,23.2,0.594479830149,30.5,2.33545647558,112.0,0.815969692554,92.0
68,AX,AX,2010-01-01,18.8,0.509554140127,27.5,1.69851380042,314.0,2.28762931663,92.0
69,AX,AX,2010-01-01,24.4,0.594479830149,19.5,1.86836518047,136.0,0.990820340959,92.0
70,AX,AX,2010-01-01,18.4,0.467091295117,17.5,1.91082802548,93.0,0.677546262567,92.0
